rank,company,ticker,cik,fiscal_year,current_federal,current_state,current_foreign,total_current,deferred_federal,deferred_state,deferred_foreign,total_deferred,total_tax_expense,pretax_income,effective_tax_rate,cash_taxes_paid
26,AT&T Inc.,T,0000732717,2022,21.00,0.00,106.00,127.00,912.00,0.00,-44.00,868.00,995.00,0.00,0.00%,0.00
27,Centene Corp.,CNC,0001071739,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,899.00,0.00,16.00%,0.00
27,Centene Corp.,CNC,0001071739,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,760.00,0.00,0.00%,0.00
27,Centene Corp.,CNC,0001071739,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
28,Meta Platforms Inc.,META,0001326801,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,303.00",0.00,20.00%,0.00
28,Meta Platforms Inc.,META,0001326801,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,330.00",0.00,0.00%,0.00
28,Meta Platforms Inc.,META,0001326801,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,619.00",0.00,0.00%,0.00
29,Comcast Corp.,CMCSA,0001166691,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,796.00",0.00,0.00%,0.00
29,Comcast Corp.,CMCSA,0001166691,2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,371.00",0.00,0.00%,0.00
29,Comcast Corp.,CMCSA,0001166691,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,359.00",0.00,0.00%,0.00
31,Target Corp.,TGT,0000027419,2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,159.00",0.00,0.00%,0.00
31,Target Corp.,TGT,0000027419,2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,638.00,0.00,0.00%,0.00
